"winner";"rated";"turns";"victory_status";"white_rating";"black_rating";"opening_ply";"matchtime";"increment";"ECO";"firstmove";"firstresponse";"diffELO";"king.moves";"queen.moves";"rook.moves";"knight.moves";"bishop.moves";"takes";"w.castle";"b.castle";"checks";"material"
"white";0;23;"mate";1443;1500;5;15;5;"C";"Usual";"Usual";-79.6628624305984;-1;2;0;-1;1;2;"no castle";"no castle";0;0
"black";0;12;"resign";1500;1626;3;10;5;"C";"Usual";"Usual";-183.209130166564;0;2;0;0;1;0;"no castle";"no castle";0;0
"black";1;60;"resign";1319;1214;4;10;0;"C";"Usual";"Usual";133.468537939543;7;-7;-1;-1;0;-2;"no castle";"castle";-4;11
"black";1;54;"resign";1278;1308;2;10;0;"A";"Unusual";"Unusual";-38.6243059839605;1;-3;3;-1;-3;0;"castle";"castle";-2;1
"black";1;28;"mate";1317;1401;7;10;0;"C";"Usual";"Usual";-111.568167797656;0;0;1;-1;0;0;"castle";"no castle";0;3
"white";1;32;"resign";1258;1331;2;10;0;"B";"Usual";"Usual";-94.0533621221468;-5;2;0;6;1;4;"no castle";"no castle";6;4
"white";1;65;"mate";1320;1291;4;10;0;"C";"Usual";"Usual";37.5604565083282;-3;0;3;-2;6;4;"castle";"no castle";3;-11
"black";1;33;"resign";1331;1347;8;10;0;"B";"Usual";"Usual";-21.0536705737199;6;-5;0;-3;3;-6;"no castle";"no castle";-8;-1
"black";1;104;"resign";1340;1433;2;10;0;"D";"Unusual";"Usual";-125.099629858112;6;-16;12;1;3;-3;"castle";"castle";-5;-16
"white";1;73;"resign";1336;1292;2;10;0;"A";"Unusual";"Unusual";57.2190006169031;-3;4;-1;0;0;4;"castle";"castle";4;13
"black";1;106;"resign";1515;1319;3;10;0;"B";"Usual";"Usual";267.338679827267;-2;-1;2;-6;5;0;"castle";"no castle";9;5
"black";1;40;"mate";1295;1308;5;10;0;"B";"Usual";"Unusual";-16.805367057372;2;-3;3;-4;-3;-1;"castle";"castle";-2;-1
"white";1;45;"resign";1295;1321;2;10;0;"A";"Unusual";"Unusual";-33.7149907464528;0;-4;1;-3;5;2;"castle";"castle";-3;-11
"white";1;117;"mate";1278;1463;3;10;0;"D";"Unusual";"Usual";-247.028069093152;-16;12;6;-15;8;2;"castle";"no castle";13;11
"white";1;123;"mate";1363;1287;2;10;0;"A";"Unusual";"Usual";99.3485502776064;-10;10;-2;2;0;3;"castle";"castle";3;11
"white";1;45;"resign";1275;1287;4;10;0;"C";"Usual";"Usual";-15.3608883405305;-3;4;-2;2;0;3;"castle";"no castle";5;-7
"white";1;89;"mate";1201;1290;10;10;0;"B";"Usual";"Usual";-111.977483035163;-4;7;2;2;-4;2;"castle";"castle";5;3
"white";1;73;"resign";1214;925;5;9;10;"C";"Usual";"Unusual";332.234114743985;-3;5;3;-2;-1;6;"castle";"no castle";7;-2
"white";1;105;"mate";966;937;2;15;15;"B";"Usual";"Unusual";31.2273288093769;-7;8;1;1;-5;2;"no castle";"no castle";10;8
"black";1;8;"resign";951;955;3;15;15;"C";"Unusual";"Usual";-4.31091918568785;0;-3;0;1;0;-2;"no castle";"no castle";-1;0
"white";1;61;"mate";784;970;3;10;0;"C";"Usual";"Usual";-191.737199259716;-2;1;3;3;0;-4;"no castle";"no castle";5;-1
"white";1;101;"mate";1161;958;4;15;15;"B";"Usual";"Unusual";232.11628624306;2;4;-10;-7;-1;3;"no castle";"castle";-3;21
"black";1;96;"mate";972;985;6;10;5;"C";"Usual";"Usual";-14.2149907464528;10;-14;1;-2;5;-5;"castle";"castle";-10;-2
"white";0;79;"mate";1148;972;4;15;0;"B";"Usual";"Unusual";201.297964219618;-10;0;-9;18;0;5;"castle";"castle";5;3
"black";0;16;"resign";972;1301;3;15;15;"C";"Usual";"Usual";-391.816471314004;0;-3;0;0;3;-4;"no castle";"no castle";-1;0
"white";1;13;"resign";1181;978;2;10;0;"A";"Unusual";"Unusual";234.620913016656;0;-2;0;0;-1;1;"no castle";"no castle";0;0
"white";1;21;"resign";958;1008;3;15;15;"C";"Usual";"Usual";-54.8118445404072;0;0;-1;1;-4;0;"no castle";"no castle";0;1
"black";1;46;"mate";972;954;3;15;15;"C";"Usual";"Usual";19.5101789019124;3;-1;-6;3;-1;-1;"no castle";"castle";-5;-12
"black";1;110;"mate";983;1090;2;10;0;"A";"Unusual";"Unusual";-120.828809376928;7;3;-1;-6;-7;-2;"no castle";"no castle";-6;19
"white";1;105;"resign";964;1029;3;10;0;"D";"Unusual";"Usual";-71.7967304133251;-8;12;5;-11;2;4;"castle";"castle";5;16
"black";1;66;"mate";1058;943;3;10;0;"D";"Unusual";"Usual";127.308760024676;0;-2;0;0;-3;1;"castle";"castle";-1;15
"white";1;47;"mate";808;973;1;10;0;"A";"Unusual";"Unusual";-171.463602714374;0;1;2;0;-1;-2;"no castle";"no castle";-3;8
"white";1;11;"resign";1095;986;4;10;0;"B";"Usual";"Unusual";123.356261566934;0;-2;0;2;0;1;"no castle";"no castle";-1;0
"black";1;62;"resign";999;1092;1;10;0;"A";"Unusual";"Unusual";-105.53578038248;1;-3;8;-3;-6;-6;"castle";"castle";-3;9
"white";1;13;"resign";912;1024;4;10;0;"B";"Usual";"Unusual";-121.742134484886;0;-1;0;0;-1;2;"no castle";"no castle";-1;-9
"black";1;132;"mate";1032;1274;5;15;0;"B";"Unusual";"Usual";-290.668723010487;21;-10;-6;-9;3;-3;"castle";"no castle";-16;-23
"black";1;112;"mate";1199;1002;5;10;0;"D";"Unusual";"Usual";230.238433066009;14;-13;0;-6;3;-3;"no castle";"castle";-10;-17
"black";1;20;"mate";1029;914;1;10;0;"A";"Unusual";"Unusual";125.251388032079;0;-3;0;1;0;0;"castle";"no castle";0;0
"black";1;128;"mate";1048;1077;1;10;0;"A";"Unusual";"Unusual";-33.2131400370142;13;-9;-7;5;-4;-5;"castle";"no castle";-13;-26
"white";1;33;"resign";1082;1070;2;10;0;"B";"Usual";"Unusual";13.8433066008637;1;-4;1;3;-1;0;"castle";"no castle";0;0
"white";1;141;"outoftime";1044;1080;2;10;0;"A";"Unusual";"Unusual";-41.2190006169031;-2;-6;-7;9;0;1;"castle";"no castle";-8;-8
"white";1;30;"resign";1070;1069;2;10;0;"B";"Usual";"Unusual";1.14959901295497;-1;-3;0;5;0;2;"no castle";"no castle";0;-1
"white";0;107;"mate";1206;1069;3;180;180;"C";"Usual";"Usual";163.242134484886;-22;11;0;4;1;3;"castle";"no castle";13;23
"black";1;48;"resign";1099;1052;6;15;15;"B";"Usual";"Unusual";54.2051202961135;-1;-5;6;-5;4;-5;"castle";"no castle";1;13
"black";1;6;"resign";1062;1071;4;15;15;"D";"Unusual";"Usual";-10.3297347316471;0;-1;0;2;-1;0;"no castle";"no castle";0;1
"white";1;19;"resign";1038;1074;6;15;15;"B";"Usual";"Unusual";-41.0857495373226;0;-3;1;0;2;2;"no castle";"no castle";0;-13
"white";1;53;"resign";1266;1053;2;15;15;"A";"Unusual";"Unusual";256.690623072178;-5;7;-3;7;-3;7;"castle";"no castle";4;-1
"black";1;63;"resign";1099;1326;3;30;0;"D";"Unusual";"Usual";-280.984268969772;-1;0;5;-1;-1;-2;"castle";"castle";1;-1
"black";1;42;"resign";1141;1168;3;10;15;"B";"Usual";"Unusual";-32.454966070327;0;-4;3;2;1;-2;"castle";"no castle";0;6
"white";0;39;"resign";1638;940;7;5;5;"C";"Usual";"Usual";896.936458975941;-2;-1;1;0;3;-1;"castle";"castle";1;8
"white";1;105;"resign";1649;1672;3;10;0;"D";"Unusual";"Usual";-34.826341764343;-6;0;1;4;0;2;"castle";"no castle";4;0
"black";1;80;"resign";1676;1637;3;10;0;"C";"Usual";"Usual";58.9571252313387;4;-6;-3;3;3;1;"no castle";"no castle";-5;-7
"white";1;39;"resign";1711;1645;5;10;0;"B";"Usual";"Usual";100.648982109809;0;-4;2;-2;5;1;"no castle";"castle";-1;-8
"black";1;90;"resign";1655;1668;4;10;0;"B";"Usual";"Usual";-19.6924737816163;2;-3;-2;-2;0;0;"castle";"castle";-4;-12
"black";1;41;"resign";1666;1647;4;10;0;"C";"Usual";"Usual";28.7227020357804;2;-2;-2;4;-1;-1;"no castle";"castle";-3;-1
"black";1;69;"resign";1645;1655;5;10;0;"C";"Usual";"Usual";-15.0771128932758;3;1;-1;-5;2;-2;"no castle";"no castle";-1;5
"black";1;21;"resign";1591;1647;2;10;0;"A";"Unusual";"Unusual";-83.3608883405305;0;-3;1;0;1;-1;"castle";"castle";0;4
"white";1;103;"mate";1648;1672;5;10;0;"C";"Usual";"Usual";-36.3331276989513;0;-1;-6;6;3;3;"castle";"castle";4;7
"white";1;79;"resign";1595;1660;6;10;0;"D";"Unusual";"Usual";-97.0990129549661;-8;0;-2;8;6;3;"castle";"no castle";1;0
"white";1;31;"resign";1671;1671;3;10;0;"C";"Usual";"Usual";0;-5;3;0;1;3;2;"castle";"no castle";6;-2
"white";1;25;"resign";1660;1665;5;10;0;"C";"Usual";"Usual";-7.57711289327576;0;1;-2;2;1;1;"castle";"no castle";1;10
"white";1;31;"mate";1682;1670;3;10;0;"D";"Unusual";"Usual";18.2850092535472;0;1;0;0;-1;-1;"castle";"castle";0;-6
"black";1;140;"resign";1683;1621;10;10;0;"B";"Usual";"Usual";93.5545959284392;17;-4;-2;2;2;-3;"castle";"castle";-3;-10
"black";1;148;"mate";1693;1693;4;10;0;"B";"Usual";"Usual";0;7;-7;2;8;-3;-1;"castle";"castle";-1;-6
"white";1;87;"mate";1730;1703;6;10;0;"C";"Usual";"Usual";41.8158544108575;4;1;-5;1;5;-1;"castle";"castle";-1;-3
"white";1;41;"resign";1799;1711;3;10;0;"D";"Unusual";"Usual";138.378778531771;-3;6;0;0;2;3;"no castle";"no castle";6;9
"black";0;80;"mate";1143;1711;5;10;0;"C";"Usual";"Usual";-778.24059222702;2;3;-6;-2;-2;-6;"no castle";"castle";-2;-7
"black";1;90;"resign";1686;1701;6;10;0;"C";"Usual";"Usual";-23.0181986428131;-9;2;5;2;1;0;"castle";"no castle";4;1
"black";1;47;"resign";1711;1724;6;10;0;"C";"Usual";"Usual";-20.1415792720543;5;-2;-3;3;-4;-3;"castle";"castle";-5;0
"white";1;97;"mate";1701;1680;3;10;0;"C";"Usual";"Usual";32.1866132017273;-2;8;1;-4;2;4;"castle";"castle";3;0
"white";1;101;"resign";1964;1705;3;10;0;"C";"Usual";"Usual";419.976249228871;-8;-3;12;5;-1;3;"castle";"castle";5;19
"black";1;108;"mate";1720;1566;4;10;0;"C";"Usual";"Usual";231.522516964836;18;-6;-14;0;2;-2;"castle";"castle";-8;-4
"black";1;132;"resign";1728;1798;5;10;0;"C";"Usual";"Usual";-110.41949413942;10;-2;-6;-1;-5;-2;"castle";"castle";-9;6
"black";1;94;"mate";1755;1717;5;10;0;"C";"Usual";"Usual";59.3090684762492;15;-4;-7;-7;0;-4;"no castle";"castle";-15;5
"white";1;43;"resign";1704;1775;7;10;0;"C";"Usual";"Usual";-110.967612584824;0;0;-1;2;-1;1;"castle";"castle";1;9
"white";1;61;"resign";1772;1713;6;10;0;"C";"Usual";"Usual";92.3217149907464;0;1;3;3;-6;1;"castle";"castle";1;-6
"white";1;41;"resign";1699;1800;7;10;0;"C";"Usual";"Usual";-158.478408389883;1;-1;0;2;-1;2;"castle";"no castle";-2;3
"black";1;64;"resign";1610;1691;5;10;0;"C";"Usual";"Usual";-122.149599012955;1;2;-3;-2;0;-2;"castle";"castle";-1;2
"white";1;61;"mate";1679;1730;4;10;0;"B";"Usual";"Usual";-78.607958050586;-5;-2;-1;8;3;2;"castle";"no castle";2;1
"black";1;58;"resign";1576;1671;3;10;0;"C";"Usual";"Usual";-141.679518815546;-1;-1;0;1;-1;1;"castle";"castle";1;18
"white";1;33;"mate";1661;1675;3;10;0;"C";"Usual";"Usual";-21.26341764343;-1;3;0;-1;-2;1;"castle";"castle";1;0
"black";1;54;"mate";1661;1618;8;10;0;"B";"Usual";"Usual";64.5530536705737;2;1;-5;1;-2;-1;"castle";"no castle";-2;3
"black";1;60;"resign";1748;1647;5;10;0;"C";"Usual";"Usual";155.238433066009;0;-2;2;-1;-3;-4;"castle";"castle";2;12
"white";1;141;"mate";1637;1661;4;10;0;"B";"Usual";"Usual";-36.1702652683529;-28;-1;2;28;0;4;"castle";"castle";11;17
"black";1;57;"resign";1540;1629;6;10;0;"C";"Usual";"Usual";-130.590067859346;-1;4;2;-3;-1;-4;"castle";"no castle";2;7
"white";1;127;"resign";1620;1549;8;10;0;"C";"Usual";"Usual";104.178593460827;-9;-1;-4;23;-2;1;"castle";"castle";0;14
"white";1;103;"mate";1535;1634;5;10;0;"C";"Usual";"Usual";-145.263109191857;-11;7;8;2;3;4;"castle";"castle";11;-1
"white";1;71;"mate";1347;1268;1;10;0;"A";"Unusual";"Unusual";102.417334978408;-7;12;-4;1;0;5;"castle";"castle";5;-6
"white";1;61;"mate";1400;1500;5;15;3;"B";"Usual";"Usual";-138.433066008637;-5;1;-1;2;3;3;"castle";"castle";3;3
"black";0;60;"mate";1500;1072;5;5;8;"C";"Usual";"Usual";549.19185687847;3;-2;-3;6;-1;-2;"castle";"castle";-1;6
"white";1;73;"mate";1258;1362;3;15;15;"B";"Usual";"Usual";-134.988278840222;-2;0;-1;-3;0;0;"castle";"castle";1;0
"black";1;80;"resign";1088;1350;5;15;15;"D";"Unusual";"Usual";-325.358420727946;-6;-2;1;2;5;-1;"castle";"castle";-1;-8
"black";1;108;"mate";1297;1330;4;15;20;"A";"Unusual";"Unusual";-42.904071560765;5;0;-13;11;0;-3;"castle";"castle";-4;-7
"white";1;72;"resign";1605;1367;3;10;10;"B";"Usual";"Usual";334.756323257249;-5;4;-4;-1;-1;2;"castle";"no castle";3;2
"black";1;100;"resign";1420;1620;3;25;0;"C";"Usual";"Usual";-285.502776064158;0;-2;-1;12;-6;-2;"no castle";"castle";3;-7
"black";1;98;"resign";1500;1501;4;20;5;"D";"Unusual";"Usual";-1.41548426896977;3;1;-10;7;1;-2;"castle";"castle";-2;-1
"white";1;35;"resign";1576;1539;5;10;0;"C";"Usual";"Usual";53.6739666872301;0;-2;2;-1;0;0;"castle";"no castle";0;-9
"white";1;29;"mate";1191;1598;3;10;0;"C";"Usual";"Usual";-549.487661937076;1;5;0;-3;0;-1;"no castle";"castle";0;-8
"white";1;41;"outoftime";1595;1223;6;10;0;"C";"Usual";"Usual";505.561998766194;-3;-3;2;5;2;1;"castle";"no castle";6;7
"white";1;95;"outoftime";1301;1616;4;10;0;"C";"Usual";"Usual";-437.715916101172;4;-4;5;-3;4;0;"castle";"castle";-1;8
"white";1;79;"outoftime";1611;1371;4;10;0;"C";"Usual";"Usual";338.309685379395;4;-1;-1;3;1;3;"no castle";"castle";-7;-4
"black";1;46;"mate";1383;1606;6;10;0;"C";"Usual";"Usual";-314.827575570635;4;1;-3;-2;-2;-1;"no castle";"castle";-2;0
"black";1;81;"resign";1498;1597;7;10;0;"C";"Usual";"Usual";-143.003392967304;-6;1;4;5;0;0;"castle";"no castle";7;4
"black";1;69;"resign";1355;1592;3;10;0;"C";"Usual";"Usual";-331.522208513263;-1;9;-2;5;-4;-2;"castle";"castle";-2;5
"black";1;76;"outoftime";1593;2216;7;10;0;"B";"Usual";"Unusual";-1037.11628624306;-1;1;2;1;-2;-4;"castle";"castle";0;11
"black";1;108;"mate";1532;1583;6;10;0;"C";"Usual";"Usual";-73.9830351634793;-2;-4;-2;0;5;-1;"castle";"castle";-2;-7
"white";1;75;"mate";1569;1349;5;10;0;"C";"Usual";"Usual";305.774213448489;-2;3;1;-8;4;-2;"castle";"castle";1;-13
"white";1;87;"outoftime";1728;1576;6;10;0;"A";"Unusual";"Unusual";229.359654534238;-8;5;-2;8;-1;5;"no castle";"no castle";5;10
"white";1;111;"outoftime";1560;1686;3;10;0;"B";"Usual";"Unusual";-187.872917951882;-10;1;17;3;-16;3;"castle";"no castle";3;10
"white";1;40;"resign";1550;1482;7;10;0;"C";"Usual";"Usual";96.9031462060456;0;1;-2;2;1;1;"castle";"castle";1;1
"black";1;60;"resign";1553;1953;5;10;0;"C";"Usual";"Usual";-628.500925354719;1;-2;-1;2;2;-2;"castle";"castle";1;6
"white";1;109;"mate";1775;1558;9;10;0;"C";"Usual";"Usual";329.382171499075;-20;9;4;1;5;4;"castle";"castle";9;32
"white";1;31;"mate";1549;1570;5;10;0;"C";"Usual";"Usual";-30.4895126465145;-2;6;-1;-1;-1;2;"castle";"castle";1;0
"black";1;60;"mate";1577;1874;4;10;0;"C";"Usual";"Usual";-461.623380629241;-1;5;-3;5;-7;-5;"castle";"no castle";0;12
"black";1;52;"mate";1276;1573;4;10;0;"D";"Unusual";"Usual";-406.474090067859;1;0;-2;1;-1;1;"castle";"castle";-2;-6
"black";1;87;"resign";1585;1569;5;10;0;"B";"Usual";"Unusual";23.4028377544725;5;-3;12;-5;0;1;"castle";"no castle";0;-13
"black";1;26;"resign";1408;1579;4;5;8;"C";"Usual";"Usual";-241.309376927822;0;-2;0;4;0;0;"no castle";"no castle";0;0
"white";1;63;"outoftime";1575;1281;4;10;0;"C";"Usual";"Unusual";403.003084515731;-4;1;0;1;4;3;"castle";"castle";5;7
"black";1;80;"outoftime";1585;1697;3;10;0;"B";"Usual";"Usual";-168.241826033313;-5;-10;8;0;0;-1;"castle";"no castle";2;6
"white";1;71;"outoftime";1574;1561;6;10;0;"C";"Usual";"Usual";18.9386181369525;-1;-5;2;-2;4;-1;"castle";"castle";2;9
"black";1;174;"mate";1528;1564;7;10;0;"C";"Usual";"Unusual";-51.9679210363973;-8;-10;-3;21;3;-1;"castle";"no castle";5;24
"white";1;123;"outoftime";1651;1573;5;10;0;"C";"Usual";"Unusual";115.772979642196;-2;4;1;13;-12;4;"no castle";"no castle";3;7
"white";1;99;"mate";1569;1298;5;10;0;"C";"Usual";"Usual";372.395126465145;-15;1;4;5;5;3;"castle";"no castle";7;16
"black";1;114;"mate";1390;1201;3;10;0;"C";"Usual";"Usual";243.624614435534;10;-2;-5;4;0;-5;"castle";"no castle";-2;-10
"white";1;57;"mate";1349;1403;6;10;0;"E";"Unusual";"Usual";-72.2887106724244;1;2;3;-2;-2;-1;"castle";"castle";-2;-2
"white";1;29;"mate";1418;1415;3;10;0;"C";"Usual";"Usual";4.09099321406539;0;2;1;-2;-1;2;"no castle";"castle";0;-9
"white";1;45;"mate";1403;1403;8;10;0;"C";"Usual";"Usual";0;0;1;1;-2;2;-2;"no castle";"castle";0;1
"white";1;9;"mate";1395;1273;2;10;0;"B";"Usual";"Unusual";160.157927205429;0;0;0;2;0;-1;"no castle";"no castle";0;0
"black";1;102;"mate";1408;1393;4;10;0;"C";"Usual";"Usual";20.3069093152375;15;-6;2;-5;-10;-5;"castle";"no castle";-8;-1
"black";1;114;"resign";1345;1398;7;7;2;"D";"Unusual";"Usual";-70.8028994447872;23;-25;9;-2;2;-3;"castle";"castle";-15;-17
"white";1;67;"mate";1545;1405;5;7;2;"C";"Usual";"Usual";195.965453423812;1;2;6;0;-3;0;"castle";"castle";0;2
"black";1;128;"mate";1410;1629;8;7;2;"C";"Usual";"Usual";-312.557988895743;10;-2;3;-5;-3;-1;"castle";"castle";-4;-1
"black";1;12;"resign";1500;1378;3;7;2;"C";"Usual";"Usual";168.060456508328;0;1;0;1;-2;0;"no castle";"no castle";0;9
"black";1;52;"resign";1232;1371;1;10;0;"A";"Unusual";"Unusual";-179.688155459593;4;-3;2;-3;0;-4;"castle";"castle";-3;-10
"black";1;22;"mate";1384;1353;5;10;0;"C";"Usual";"Usual";41.3556446637878;0;-2;0;1;0;0;"castle";"no castle";1;2
"white";1;41;"mate";1285;1400;4;10;0;"C";"Usual";"Usual";-151.57156076496;-3;10;-1;-1;0;-2;"castle";"castle";3;3
"black";1;50;"mate";1412;1433;8;10;0;"C";"Usual";"Usual";-28.7146822948797;-2;1;-2;0;0;0;"castle";"castle";2;1
"black";1;60;"resign";1416;1699;4;10;0;"B";"Usual";"Usual";-410.533312769895;0;3;7;-2;-2;-4;"castle";"castle";3;15
"white";1;93;"outoftime";1406;1338;5;10;0;"C";"Usual";"Usual";90.862430598396;2;0;-8;8;0;2;"castle";"castle";-2;-1
"black";1;92;"mate";1564;1389;5;7;2;"C";"Usual";"Usual";245.118753855645;8;-2;-8;2;-1;-2;"castle";"no castle";-4;-13
"black";1;56;"mate";1102;1385;3;7;2;"C";"Usual";"Usual";-355.714065391734;-3;1;-1;0;2;-5;"no castle";"castle";0;4
"black";1;122;"mate";1243;1378;2;7;2;"A";"Unusual";"Unusual";-175.266810610734;20;-5;-14;1;0;-3;"no castle";"castle";-9;-18
"white";1;111;"mate";1586;1383;5;7;2;"C";"Usual";"Usual";285.339605181986;-10;10;-5;-7;1;0;"castle";"castle";5;15
"black";0;68;"mate";1045;1383;4;4;6;"C";"Usual";"Usual";-418.694632942628;4;9;-4;-6;-7;1;"no castle";"castle";-2;-5
"black";1;42;"mate";1383;1045;3;4;6;"C";"Usual";"Usual";418.694632942628;-1;-3;0;4;2;0;"castle";"no castle";2;0
"black";1;26;"resign";1383;1045;3;4;6;"C";"Usual";"Usual";418.694632942628;-1;1;1;2;0;0;"castle";"no castle";3;14
"white";1;77;"mate";1383;1045;3;4;6;"C";"Usual";"Usual";418.694632942628;-3;1;0;8;0;4;"castle";"castle";2;3
"white";1;45;"mate";1383;1045;3;4;6;"C";"Usual";"Usual";418.694632942628;-2;0;6;2;1;3;"castle";"castle";4;-12
"black";1;52;"mate";1383;1045;3;8;0;"C";"Usual";"Usual";418.694632942628;-2;-5;1;7;0;0;"castle";"no castle";3;5
"black";1;98;"resign";1500;1503;3;10;0;"C";"Usual";"Usual";-4.24830351634793;16;-8;0;-8;3;-7;"no castle";"castle";-13;-33
"white";1;89;"mate";1980;1860;11;10;0;"C";"Usual";"Usual";200.913016656385;-9;-2;-4;5;3;3;"castle";"no castle";5;1
"white";1;113;"mate";1403;1364;3;10;0;"C";"Usual";"Usual";52.3889574336829;-8;8;-1;4;-7;5;"castle";"no castle";8;16
"black";1;62;"resign";1446;1359;3;10;0;"C";"Usual";"Usual";117.887415175817;0;5;-2;2;-2;0;"no castle";"castle";4;3
"black";1;58;"mate";1369;1413;3;10;0;"C";"Usual";"Usual";-59.3090684762492;1;1;-8;2;6;1;"castle";"castle";1;14
"black";1;12;"mate";1468;1354;3;10;0;"C";"Usual";"Usual";155.070943861814;0;-2;0;0;1;0;"no castle";"no castle";0;-1
"black";1;84;"mate";1331;1434;3;8;0;"C";"Usual";"Usual";-138.297038864898;3;-10;-2;4;8;-7;"no castle";"castle";-6;4
"white";1;33;"resign";1985;1009;6;10;0;"C";"Usual";"Usual";1379.40530536706;0;0;-4;-1;3;3;"castle";"castle";0;-6
"white";0;63;"mate";1227;1009;4;10;0;"C";"Usual";"Usual";257.135101789019;0;6;3;-12;3;-2;"no castle";"castle";-2;-5
"white";0;41;"mate";1009;1227;3;10;0;"C";"Usual";"Usual";-257.135101789019;0;-1;-2;1;4;-1;"no castle";"no castle";-2;3
"white";1;69;"mate";1344;1018;1;8;0;"A";"Unusual";"Unusual";397.193090684763;5;3;-9;1;-2;0;"no castle";"castle";-4;0
"black";0;92;"resign";1018;1707;2;10;0;"B";"Usual";"Unusual";-916.61227637261;-8;-1;7;-1;-1;-4;"castle";"no castle";5;0
"black";0;20;"resign";1018;1489;4;10;0;"B";"Usual";"Unusual";-594.92442936459;0;1;0;-2;-1;-1;"castle";"no castle";0;1
"black";0;16;"resign";1018;1387;5;20;0;"C";"Usual";"Usual";-454.477791486737;1;-1;0;-2;2;0;"no castle";"no castle";-1;-1
"white";0;81;"resign";1500;1018;6;10;0;"C";"Usual";"Usual";610.454040715608;-2;1;4;5;-2;6;"castle";"castle";2;10
"white";1;31;"mate";998;835;5;30;0;"C";"Usual";"Usual";171.999691548427;0;0;-1;-1;2;3;"castle";"castle";0;0
"white";1;45;"resign";1055;1034;5;15;0;"C";"Usual";"Usual";23.8177051202961;0;2;-1;1;-2;3;"castle";"castle";0;2
"white";0;19;"mate";1166;1034;5;10;0;"C";"Usual";"Usual";154.230721776681;0;2;0;-1;1;2;"no castle";"castle";0;0
"white";0;19;"mate";1100;1034;7;10;0;"C";"Usual";"Usual";75.7717458359038;0;3;0;-1;0;2;"castle";"castle";0;-1
"black";0;124;"mate";1500;1038;3;180;0;"C";"Usual";"Usual";587.974090067859;-17;-4;-2;18;3;0;"castle";"no castle";9;-14
"white";0;13;"resign";1653;1038;4;5;5;"C";"Usual";"Usual";811.716533004318;0;1;0;-1;0;1;"no castle";"no castle";0;-1
"white";0;12;"resign";1038;1265;4;60;0;"C";"Usual";"Usual";-272.442011104257;0;1;0;2;2;0;"no castle";"no castle";2;1
"white";0;25;"resign";955;1038;2;10;0;"A";"Unusual";"Unusual";-91.6789019123998;1;-3;0;2;-1;0;"no castle";"no castle";-1;-10
"black";0;46;"resign";1063;1779;3;8;0;"C";"Usual";"Usual";-978.371375694016;1;5;0;-6;0;-1;"no castle";"castle";-1;3
"white";0;26;"resign";1067;972;1;10;0;"A";"Unusual";"Unusual";106.281616286243;-1;2;-1;3;0;3;"castle";"castle";3;1
"black";0;24;"resign";1072;1815;4;5;5;"D";"Unusual";"Unusual";-1025.57834669957;0;-1;0;-5;4;-2;"no castle";"no castle";-1;7
"white";1;49;"mate";1324;1096;6;13;1;"C";"Usual";"Usual";281.870450339297;2;3;-5;-1;1;3;"no castle";"castle";-1;-6
"black";1;40;"resign";1150;1202;1;20;0;"A";"Unusual";"Unusual";-63.1955582973473;2;-10;2;-1;6;-4;"no castle";"no castle";-2;3
"white";0;29;"mate";1918;1150;6;15;0;"C";"Usual";"Usual";1102.96360271437;-1;0;0;4;3;0;"no castle";"no castle";1;5
"white";1;137;"mate";1352;1629;5;10;0;"C";"Usual";"Usual";-390.380320789636;-14;3;18;-1;-9;1;"castle";"castle";4;5
"white";1;60;"resign";1353;1364;5;8;0;"C";"Usual";"Usual";-14.6067242442936;-6;2;4;4;2;7;"castle";"castle";9;1
"black";1;44;"mate";1377;1340;2;8;0;"B";"Usual";"Unusual";49.131708821715;1;-8;0;-1;1;-4;"castle";"no castle";-5;-2
"black";1;34;"mate";1351;1366;3;8;0;"C";"Usual";"Usual";-19.9182603331277;5;-5;0;2;0;1;"castle";"no castle";-4;-1
"black";1;40;"mate";1363;1353;3;8;0;"C";"Usual";"Usual";13.2757557063541;1;-2;3;-1;-2;-2;"castle";"castle";-1;7
"black";1;90;"resign";1287;1355;2;10;0;"A";"Unusual";"Usual";-88.7230104873535;15;2;-11;0;-2;-6;"no castle";"no castle";-2;18
"white";1;37;"resign";1345;1296;3;10;0;"C";"Usual";"Usual";63.9176434299815;-1;-1;-1;2;1;3;"castle";"no castle";2;-3
"black";1;44;"mate";1331;1341;2;8;0;"B";"Usual";"Unusual";-13.1400370141888;-1;-1;-1;-3;5;-2;"no castle";"no castle";0;2
"black";1;34;"mate";1343;1328;4;8;0;"B";"Usual";"Unusual";19.7054287476866;0;-2;-2;-1;1;2;"castle";"no castle";-1;1
"black";0;34;"resign";1343;1328;4;8;0;"B";"Usual";"Unusual";19.7054287476866;0;-2;0;1;-3;-1;"no castle";"no castle";3;7
"white";1;157;"mate";1293;1342;4;8;0;"C";"Usual";"Usual";-63.8269586674892;2;7;-5;-5;-1;1;"castle";"castle";-7;2
"black";1;45;"resign";1210;1334;1;10;0;"A";"Unusual";"Unusual";-158.04071560765;3;-6;0;-1;-1;-3;"no castle";"castle";-3;3
"white";1;31;"mate";1325;1218;2;10;0;"A";"Unusual";"Usual";136.340838988279;0;3;-1;1;4;2;"castle";"no castle";0;-2
